Name,NodeId,DataType,Category,Group,Direction,Description,IsAlarm,IsWritable
Motor1_Reset,"ns=4;s=|var|Application.DB1050_DriveControl.Motor[1].Cmd.Reset",Boolean,Motor,Cmd,Output,1#电机复位 (OP10),false,true
Robot_Run,"ns=4;s=|var|Application.DB1050_DriveControl.Kuka[1].Cmd.EXT_START",Boolean,Robot,Cmd,Output,机械手运行 (OP10 Kuka),false,true
Robot_Pause,"ns=4;s=|var|Application.DB1050_DriveControl.Kuka[1].Cmd.MOVE_ENABLE",Boolean,Robot,Cmd,Output,机械手允许移动 (OP10),false,true
Stopper_Up,"ns=4;s=|var|Application.DB1050_DriveControl.Stopper[1].Cmd.ManuToWork",Boolean,Stopper,Cmd,Output,挡停1升起 (OP10),false,true
Alarm_EStop,"ns=4;s=|var|Application.DB1070_Fault.Estop.EstopButton",Boolean,Alarm,Alarm,Input,急停按钮 (OP10 Fault),true,false
Alarm_AirLow,"ns=4;s=|var|Application.DB1000_Control.Machine.AirPresure",Boolean,Alarm,Alarm,Input,气压低 (OP10 false=低),true,false
Alarm_VacuumTimeout,"ns=4;s=|var|Application.DB1050_DriveControl.VacCtrl[1].Status.Error",Boolean,Alarm,Alarm,Input,真空建立超时 (OP10),true,false
Alarm_ServoOverload,"ns=4;s=|var|Application.DB1050_DriveControl.AxisCtrl[1].Status.Error",Boolean,Alarm,Alarm,Input,伺服过载 (OP10),true,false
Production_Count,"ns=4;s=|var|Application.DB8003_Count.Total.Total",Int32,Production,Count,Output,产线总产量 (OP80 终端),false,true
Production_GoodCount,"ns=4;s=|var|Application.DB8003_Count.OK.Total",Int32,Production,Count,Output,产线良品 (OP80 终端),false,true
Production_NgCount,"ns=4;s=|var|Application.DB8003_Count.NG.Total",Int32,Production,Count,Output,产线不良 (OP80 终端),false,true
Production_TargetCount,"ns=4;s=|var|Application.DB8003_Count.Total.Num",Int32,Production,Count,Output,目标产量 (OP80),false,true
Production_Availability,"ns=4;s=|var|Application.DB1000_Control.Machine.EfficencyResult",Double,Production,OEE,Output,设备利用率% (OP10),false,true
Production_Performance,"ns=4;s=|var|Application.DB1000_Control.Machine.Speed",Double,Production,OEE,Output,生产速度 (OP10),false,true
Production_Quality,"ns=4;s=|var|Application.DB8003_Count.Yield",Double,Production,OEE,Output,合格率% (OP80),false,true
Shift_ProductionCount,"ns=4;s=|var|Application.DB8003_Count.Total.Today.Total",Int32,Production,Count,Output,本班次总 (OP80),false,true
Shift_GoodCount,"ns=4;s=|var|Application.DB8003_Count.OK.Today.Total",Int32,Production,Count,Output,本班次良 (OP80),false,true
Shift_NgCount,"ns=4;s=|var|Application.DB8003_Count.NG.Today.Total",Int32,Production,Count,Output,本班次不良 (OP80),false,true
Daily_ProductionCount,"ns=4;s=|var|Application.DB8003_Count.Total.Total",Int32,Production,Count,Output,日累计 (OP80 同 Production_Count),false,true
Daily_GoodCount,"ns=4;s=|var|Application.DB8003_Count.OK.Total",Int32,Production,Count,Output,日累计良 (OP80),false,true
Daily_NgCount,"ns=4;s=|var|Application.DB8003_Count.NG.Total",Int32,Production,Count,Output,日累计不良 (OP80),false,true
WorkOrder_No,"ns=4;s=|var|Application.DB1002_Recipe.RecipeNameTemp",String,Production,Info,Output,当前工单显示 (OP10),false,true
Recipe_Name,"ns=4;s=|var|Application.DB1002_Recipe.RecipeName",String,Production,Info,Output,当前配方名 (OP10),false,true
Cycle_Time,"ns=4;s=|var|Application.DB1000_Control.Machine.CycleTime.Average",Double,Production,OEE,Output,平均节拍秒 (OP10),false,true
Ideal_Cycle_Time,"ns=4;s=|var|Application.DB1000_Control.Machine.CycleTime.Plan",Double,Production,OEE,Output,理论节拍秒 (OP10),false,true
Machine_RunTimeMin,"ns=4;s=|var|Application.DB1000_Control.Machine.RunTime",Int32,Production,OEE,Output,累计运行分钟 (OP10),false,true
Machine_StopTimeMin,"ns=4;s=|var|Application.DB1000_Control.Machine.PowerOnTime",Int32,Production,OEE,Output,累计上电分钟 (OP10),false,true
Throughput_Hourly,"ns=4;s=|var|Application.DB8003_Count.OK.Befor[0]",Int32,Production,OEE,Output,小时 UPH (OP80 环形缓冲),false,true
