Name,NodeId,DataType,Category,Group,Direction,Description,IsAlarm,IsWritable
X_Start,"ns=4;s=|var|Application.DB1000_Control.Machine.OP_StartButton",Boolean,IO,Input,Input,启动按钮 (OP10 主控),false,false
Y_RunLamp,"ns=4;s=|var|Application.DB1000_Control.Machine.StartLamp",Boolean,IO,Output,Output,运行指示灯 (OP10 主控),false,true
Device_Start,"ns=4;s=|var|Application.DB1000_Control.Mode.Out.AutoRun_R",Boolean,IO,Status,Output,设备自动运行中 (OP10),false,true
Mode_Auto,"ns=4;s=|var|Application.DB1000_Control.Mode.Status.AutoMode",Boolean,IO,Mode,Output,自动模式 (OP10),false,true
Mode_Manual,"ns=4;s=|var|Application.DB1000_Control.Mode.Status.ManualMode",Boolean,IO,Mode,Output,手动模式 (OP10),false,true
Mode_Debug,"ns=4;s=|var|Application.DB1000_Control.Mode.Status.StepMode",Boolean,IO,Mode,Output,单步/调试模式 (OP10),false,true
Mode_DryRun,"ns=4;s=|var|Application.DB1000_Control.Mode.Status.DryMode",Boolean,IO,Mode,Output,空运行模式 (OP10),false,true
Mode_BypassStation,"ns=4;s=|var|Application.DB1000_Control.Mode.Status.StationMode",Boolean,IO,Mode,Output,工位跳过模式 (OP10),false,true
Axis1_Pos,"ns=4;s=|var|Application.DB1050_DriveControl.AxisCtrl[1].Status.ActPosition",Double,Axis,Motion,Output,1轴当前位置 (OP10),false,true
Axis1_Enable,"ns=4;s=|var|Application.DB1050_DriveControl.AxisCtrl[1].DevStatus.PowerOn",Boolean,Axis,Motion,Output,1轴使能 (OP10),false,true
Axis1_Alarm,"ns=4;s=|var|Application.DB1050_DriveControl.AxisCtrl[1].Status.Error",Boolean,Axis,Alarm,Input,1轴报警 (OP10),true,false
Axis1_AlarmReset,"ns=4;s=|var|Application.DB1050_DriveControl.AxisCtrl[1].Cmd.ErrorReset",Boolean,Axis,Motion,Output,1轴报警复位 (OP10),false,true
Cylinder_Extend,"ns=4;s=|var|Application.DB1050_DriveControl.CylCtrl[1].Cmd.ManuToWork",Boolean,Cylinder,Cmd,Output,气缸1伸出 (OP10),false,true
Cylinder_FwdLS,"ns=4;s=|var|Application.DB1050_DriveControl.CylCtrl[1].Status.InWork",Boolean,Cylinder,Sensor,Input,气缸1伸到位 (OP10),false,false
Cylinder_BwdLS,"ns=4;s=|var|Application.DB1050_DriveControl.CylCtrl[1].Status.InHome",Boolean,Cylinder,Sensor,Input,气缸1退到位 (OP10),false,false
Motor1_Fault,"ns=4;s=|var|Application.DB1050_DriveControl.Motor[1].DevStatus.Fault",Boolean,Motor,Alarm,Input,1#电机故障 (OP10),true,false
